ACARA School ID,School Name,Suburb,PostCode
45599,Gleneagles Secondary College,ENDEAVOUR HILLS,3802
45617,Charles La Trobe P-12 College Olympic Village Primary Campus,HEIDELBERG WEST,3081
45623,Swifts Creek School (Interim name),SWIFTS CREEK,3896
45641,St Mary's School,WILLIAMSTOWN,3016
45644,Presentation College,WINDSOR,3181
45661,St Mary's School,DONALD,3480
45664,St Brigid's School,BALLAN,3342
45682,Sacred Heart College,KYNETON,3444
45685,Sacred Heart School,TATURA,3616
45688,St Brigid's Primary School,GISBORNE,3437
45702,St Bernard's School,BACCHUS MARSH,3340
45705,Sacred Heart School,FITZROY,3065
45708,St Augustine's School,YARRAVILLE,3013
45725,St Patrick's School,LILYDALE,3140
45728,St Mary's Primary School,WARRACKNABEAL,3393
45745,Mercy Regional College McAuley Campus,CAMPERDOWN,3260
45748,St Columba's College Ltd,ESSENDON,3040
45751,St Kilian's Primary School,BENDIGO,3550
45765,St Anthony's Primary School,GLEN HUNTLY,3163
45768,St Joseph's School,WONTHAGGI,3995
45771,De La Salle College - Tiverton Campus,MALVERN,3144
45788,St Mary's Primary School,HASTINGS,3915
45791,St Mary's School,THORNBURY,3071
45808,St Joseph's School,CHELSEA,3196
45811,St Dominic's School,CAMBERWELL EAST,3124
45829,St Joseph's School,TRAFALGAR,3824
45832,Holy Eucharist School,CHADSTONE,3148
45835,St Francis Xavier Primary School,MONTMORENCY,3094
45849,St Kevin's College Glendalough,TOORAK,3142
45852,St Vincent de Paul School,STRATHMORE,3041
45855,St Bede's College,MENTONE,3194
45873,St Kieran's Primary School,MOE,3825
45876,St Theresa's School,ALBION,3020
45893,Monivae College,HAMILTON,3300
45896,St Peter's School,CLAYTON,3168
45913,St James' School,SEBASTOPOL,3356
45916,Immaculate Heart of Mary Primary School,NEWBOROUGH,3825
45919,St Mel's School,SHEPPARTON,3630
45933,Nagle College,BAIRNSDALE,3875
45936,Emmaus College Vermont South Campus,VERMONT SOUTH,3133
45939,St Bridget's Primary School,GREYTHORN,3104
45956,Sacred Heart School,DIAMOND CREEK,3089
45959,Our Lady of the Way School,KINGSBURY,3083
45976,Avila College,MOUNT WAVERLEY,3149
45979,Emmanuel College,ALTONA NORTH,3025
45982,St Damian's School,BUNDOORA,3083
45996,Mazenod College,MULGRAVE,3170
45999,St Kevin's School,LOWER TEMPLESTOWE,3107
46002,MacKillop Catholic Regional College,WERRIBEE,3030
46016,St Peter Apostle Primary School,HOPPERS CROSSING,3029
46019,St Agatha's Primary School,CRANBOURNE,3977
46022,St Francis Xavier's School,CORIO,3214
46039,St Anthony's Primary School,MELTON SOUTH,3338
46042,St Peter's School,SUNSHINE SOUTH WEST,3020
46059,St James the Apostle School,HOPPERS CROSSING,3029
46062,Don Bosco Primary School,NARRE WARREN,3805
46065,St Bernadette's Primary School,THE BASIN,3154
46079,Nazareth College,NOBLE PARK NORTH,3174
46082,St Joachim's Catholic Primary School,CARRUM DOWNS,3201
46085,St Mary MacKillop College,SWAN HILL,3585
